"text";"created";"screenName"
"@izacmichta @marcelascrf Rueda tem mentalidade parecida com Sampaoli. Sejamos sinceros, o flamengo  não era tão org… https://t.co/5HKbsSivhe";2019-12-17 23:51:31;"Lucas021rjj"
"@futebol_info Hahahahahahahaha que lixo de time.";2019-12-17 23:51:17;"l__santana"
"@mwrshallmathers me leva p futebol <U+0001F620>";2019-12-17 23:51:16;"gxmartinezz"
"vou amassa no futebol hj embrazado";2019-12-17 23:51:08;"23Llc"
"@bbotinha @Atletico Quer o Wagner Pires de Sá junto com Itair Machado pra comandar o futebol do Galão da Massa? <U+0001F602>";2019-12-17 23:50:58;"alanchavesbr"
"@gunnior @gleibsonjrscr @Danillorafa1 @globoesportecom @CBF_Futebol Concordo, mas a CBF tem que cobrar e punir igua… https://t.co/mrIysrlfTR";2019-12-17 23:50:58;"erickgehh"
"Ao vivo e de graça: sorteio da Libertadores e da Sul-Americana 2020 https://t.co/lDtIOCI8gu";2019-12-17 23:50:56;"felippecosta1"
"@mbfiorentini @edimarpeixoto1 @CeboIinhaaa Ok então...
É que se você quiser dar um pouquinho mais de importância pa… https://t.co/H9rObfTKx5";2019-12-17 23:50:56;"Batman111975"
"@mister_ofc @Nanda_Nazare @futebol_info IMAGENS DO MUNDIAL DO FLAMENGO

KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK… https://t.co/F7wJ53sgsG";2019-12-17 23:50:54;"RestritoAdriano"
"@futebol_info Más, chegaram nessas condições porquê Quis. Ficaram boa parte do Brasileirão entre os 4 Melhores e nã… https://t.co/94zMpg4iri";2019-12-17 23:50:51;"andre_melo3"
"aquela vontade de comprar um jogo de futebol que lança anualmente e que só traz de novidade a atualização dos elencos...";2019-12-17 23:50:50;"hrn_txt"
"@certohenrique @JornalOGlobo Ué...é o de foi que eu disse que eu não assisto futebol, cara pálida?
Só que eu vou pr… https://t.co/0E0fsxOvpU";2019-12-17 23:50:42;"rosely200382"
"@futebol_info É só dar a vaga ao Fortaleza. Não quer tem quem queira.";2019-12-17 23:50:39;"anapabranches"
"Pra ser justo, Jô só foi mal no Inter, no Brasil. No Atlético-MG era um jogador importante do time campeão da Liber… https://t.co/HfJnWYzHNC";2019-12-17 23:50:33;"VladsonAjala"
"@erickplopes @futebol_info Sempre teve pré,a situação que pra chegar na fase de grupos agora são 4 jogos e não 2";2019-12-17 23:50:28;"E_Francisco95"
"To com medo de jogar esse futebol e fuder meu joelho de novo";2019-12-17 23:50:28;"LucasEduard09"
"@futebol_info Confiança tá alta KKKKKK";2019-12-17 23:50:26;"Faandas_Viana"
"Paulistão: Ex-Cuiabá e Operário Ferroviário, Léo é da Inter de Limeira https://t.co/xrJo2fdc6k";2019-12-17 23:50:20;"nielsenmacario"
"@Sr_Marcellus @ESPNagora Vc nem sabe o que é futebol, seu estado não tem, tem que gozar com o pau dos outros";2019-12-17 23:50:00;"SladeSCCP"
